Operation Type,Counterparty,Currency,Trade Date,Settlement Date,Maturity Date,Term (days),Amount,Interest Rate,isSmallValue,Last Updated
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/7/2020,10/8/2020,12/17/2020,70,200000000.00,0.33,,10/7/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/7/2020,10/8/2020,10/15/2020,7,58100000.00,0.33,,10/7/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,10/6/2020,10/8/2020,10/16/2020,8,330000000.00,0.33,,10/6/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/30/2020,10/1/2020,10/8/2020,7,58500000.00,0.33,,9/30/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/30/2020,9/30/2020,10/1/2020,1,51000.48,0.34,Y,9/30/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/30/2020,10/1/2020,12/17/2020,77,5000000.00,0.33,,9/30/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,9/29/2020,10/1/2020,10/8/2020,7,800000000.00,0.34,,9/29/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/29/2020,9/29/2020,9/30/2020,1,60000.00,0.34,Y,9/29/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,9/23/2020,9/25/2020,10/1/2020,6,670000000.00,0.34,,9/23/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/23/2020,9/24/2020,12/17/2020,84,128000000.00,0.33,,9/23/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/23/2020,9/24/2020,10/1/2020,7,36800000.00,0.34,,9/23/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/16/2020,9/17/2020,9/24/2020,7,30500000.00,0.34,,9/16/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,9/15/2020,9/17/2020,12/10/2020,84,165000000.00,0.33,,9/15/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,9/15/2020,9/17/2020,9/25/2020,8,742000000.00,0.34,,9/15/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,9/9/2020,9/11/2020,12/3/2020,83,585000000.00,0.33,,9/9/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,9/9/2020,9/11/2020,9/17/2020,6,640000000.00,0.35,,9/9/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/9/2020,9/10/2020,12/3/2020,84,9800000.00,0.33,,9/9/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/9/2020,9/10/2020,9/17/2020,7,30400000.00,0.35,,9/9/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/2/2020,9/3/2020,11/27/2020,85,40000000.00,0.32,,9/2/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/2/2020,9/3/2020,9/10/2020,7,30300000.00,0.34,,9/2/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,9/1/2020,9/3/2020,9/11/2020,8,10000000.00,0.34,,9/1/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,9/1/2020,9/3/2020,11/27/2020,85,355000000.00,0.33,,9/1/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/26/2020,8/27/2020,9/3/2020,7,40300000.00,0.34,,8/26/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,8/25/2020,8/27/2020,9/3/2020,7,673000000.00,0.34,,8/25/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,8/25/2020,8/27/2020,11/19/2020,84,171000000.00,0.32,,8/25/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/19/2020,8/20/2020,8/27/2020,7,35300000.00,0.34,,8/19/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/19/2020,8/20/2020,11/12/2020,84,240000000.00,0.33,,8/19/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,8/18/2020,8/20/2020,11/13/2020,85,405000000.00,0.33,,8/18/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,8/18/2020,8/20/2020,8/27/2020,7,1523000000.00,0.34,,8/18/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/12/2020,8/13/2020,8/20/2020,7,30200000.00,0.34,,8/12/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,8/11/2020,8/13/2020,11/6/2020,85,165000000.00,0.32,,8/11/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,8/11/2020,8/13/2020,8/20/2020,7,2752000000.00,0.34,,8/11/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/5/2020,8/6/2020,10/29/2020,84,418000000.00,0.32,,8/5/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/5/2020,8/6/2020,8/13/2020,7,30000000.00,0.34,,8/5/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,8/4/2020,8/6/2020,8/13/2020,7,3647000000.00,0.33,,8/4/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,8/4/2020,8/6/2020,10/29/2020,84,370000000.00,0.32,,8/4/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/29/2020,7/30/2020,8/6/2020,7,39000000.00,0.33,,7/29/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/29/2020,7/30/2020,10/22/2020,84,172000000.00,0.32,,7/29/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,7/28/2020,7/30/2020,8/6/2020,7,4023000000.00,0.33,,7/28/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,7/28/2020,7/30/2020,10/22/2020,84,770000000.00,0.32,,7/28/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/22/2020,7/23/2020,10/15/2020,84,457000000.00,0.33,,7/22/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/22/2020,7/23/2020,7/30/2020,7,45000000.00,0.34,,7/22/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/20/2020,7/21/2020,7/28/2020,7,500000000.00,0.34,,7/20/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,7/17/2020,7/21/2020,8/4/2020,14,92000000.00,0.34,,7/17/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/15/2020,7/16/2020,7/23/2020,7,40500000.00,0.34,,7/15/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/15/2020,7/16/2020,10/8/2020,84,207000000.00,0.32,,7/15/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,7/14/2020,7/16/2020,7/30/2020,14,11860000000.00,0.34,,7/14/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,7/14/2020,7/16/2020,10/8/2020,84,6970000000.00,0.32,,7/14/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/13/2020,7/14/2020,7/21/2020,7,1370000000.00,0.33,,7/13/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,7/10/2020,7/14/2020,7/21/2020,7,108000000.00,0.33,,7/10/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/8/2020,7/9/2020,10/1/2020,84,54600000.00,0.32,,7/8/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/8/2020,7/9/2020,7/16/2020,7,343500000.00,0.34,,7/8/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,7/7/2020,7/9/2020,7/16/2020,7,19607000000.00,0.33,,7/7/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,7/7/2020,7/9/2020,10/1/2020,84,7910000000.00,0.32,,7/7/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,7/2/2020,7/7/2020,7/14/2020,7,94000000.00,0.32,,7/2/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/1/2020,7/2/2020,7/9/2020,7,69000000.00,0.32,,7/1/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/1/2020,7/2/2020,9/24/2020,84,345000000.00,0.31,,7/1/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/30/2020,7/2/2020,7/9/2020,7,21182000000.00,0.32,,6/30/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/30/2020,7/2/2020,9/25/2020,85,6372000000.00,0.31,,6/30/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/29/2020,7/1/2020,7/8/2020,7,93000000.00,0.33,,6/29/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/29/2020,6/30/2020,7/7/2020,7,105000000.00,0.33,,6/29/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/26/2020,6/30/2020,7/7/2020,7,90000000.00,0.33,,6/26/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/26/2020,6/29/2020,7/6/2020,7,200000000.00,0.33,,6/26/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/25/2020,6/29/2020,7/6/2020,7,200000000.00,0.33,,6/25/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/24/2020,6/26/2020,7/6/2020,10,100000000.00,0.33,,6/24/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/24/2020,6/25/2020,9/17/2020,84,1350000000.00,0.32,,6/24/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/24/2020,6/25/2020,7/2/2020,7,188500000.00,0.33,,6/24/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/23/2020,6/25/2020,7/2/2020,7,21303000000.00,0.34,,6/23/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/23/2020,6/25/2020,9/17/2020,84,16016000000.00,0.32,,6/23/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/23/2020,6/24/2020,7/1/2020,7,5000000.00,0.34,,6/23/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/22/2020,6/24/2020,7/1/2020,7,158000000.00,0.34,,6/22/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/17/2020,6/18/2020,9/10/2020,84,3194800000.00,0.34,,6/17/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/17/2020,6/18/2020,6/25/2020,7,30000000.00,0.34,,6/17/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/16/2020,6/18/2020,6/25/2020,7,23114000000.00,0.35,,6/16/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/16/2020,6/18/2020,9/11/2020,85,17044000000.00,0.34,,6/16/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/15/2020,6/17/2020,6/24/2020,7,170000000.00,0.34,,6/15/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/15/2020,6/16/2020,6/23/2020,7,14800000.00,0.34,,6/15/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/11/2020,6/12/2020,6/19/2020,7,5000000.00,0.33,,6/11/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/10/2020,6/11/2020,6/18/2020,7,47000000.00,0.33,,6/10/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/10/2020,6/11/2020,9/3/2020,84,480000000.00,0.33,,6/10/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/9/2020,6/11/2020,6/18/2020,7,7933000000.00,0.33,,6/9/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/9/2020,6/11/2020,9/3/2020,84,15890000000.00,0.33,,6/9/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/9/2020,6/10/2020,6/17/2020,7,5000000.00,0.33,,6/9/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/8/2020,6/10/2020,6/17/2020,7,172000000.00,0.32,,6/8/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/8/2020,6/9/2020,6/16/2020,7,5000000.00,0.32,,6/8/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/3/2020,6/4/2020,8/27/2020,84,495000000.00,0.3,,6/3/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/3/2020,6/4/2020,6/11/2020,7,124500000.00,0.3,,6/3/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/2/2020,6/4/2020,6/11/2020,7,2747000000.00,0.3,,6/2/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/2/2020,6/4/2020,8/27/2020,84,1355000000.00,0.3,,6/2/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/1/2020,6/3/2020,6/10/2020,7,172000000.00,0.3,,6/1/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/29/2020,6/2/2020,6/9/2020,7,5000000.00,0.3,,5/29/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,5/27/2020,5/29/2020,8/20/2020,83,1501000000.00,0.3,,5/27/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/27/2020,5/28/2020,6/4/2020,7,50500000.00,0.3,,5/27/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/27/2020,5/28/2020,8/20/2020,84,1510000000.00,0.3,,5/27/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,5/26/2020,5/28/2020,6/4/2020,7,5250000000.00,0.3,,5/26/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,5/22/2020,5/27/2020,6/3/2020,7,164000000.00,0.3,,5/22/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/22/2020,5/26/2020,6/2/2020,7,184000000.00,0.3,,5/22/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/20/2020,5/22/2020,5/28/2020,6,442000000.00,0.31,,5/20/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/20/2020,5/22/2020,8/13/2020,83,600000000.00,0.31,,5/20/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,5/19/2020,5/21/2020,5/28/2020,7,9292000000.00,0.31,,5/19/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,5/19/2020,5/21/2020,8/13/2020,84,2373000000.00,0.31,,5/19/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,5/18/2020,5/20/2020,5/27/2020,7,118000000.00,0.3,,5/18/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/18/2020,5/19/2020,5/26/2020,7,94300000.00,0.3,,5/18/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/15/2020,5/18/2020,5/26/2020,8,10000000.00,0.3,,5/15/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/13/2020,5/14/2020,5/22/2020,8,791600000.00,0.31,,5/13/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/13/2020,5/14/2020,8/6/2020,84,3245000000.00,0.3,,5/13/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,5/12/2020,5/14/2020,5/21/2020,7,9489000000.00,0.31,,5/12/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,5/12/2020,5/14/2020,8/6/2020,84,2890000000.00,0.3,,5/12/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,5/11/2020,5/13/2020,5/20/2020,7,86000000.00,0.3,,5/11/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/11/2020,5/12/2020,5/19/2020,7,76300000.00,0.3,,5/11/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,5/8/2020,5/12/2020,5/19/2020,7,200000000.00,0.3,,5/8/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,5/7/2020,5/11/2020,5/18/2020,7,400000000.00,0.3,,5/7/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/7/2020,5/11/2020,5/18/2020,7,5000000.00,0.3,,5/7/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/6/2020,5/7/2020,7/30/2020,84,1795000000.00,0.29,,5/6/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/6/2020,5/7/2020,5/14/2020,7,2291500000.00,0.3,,5/6/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/5/2020,5/6/2020,5/13/2020,7,200000000.00,0.29,,5/5/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/4/2020,5/5/2020,5/12/2020,7,1721300000.00,0.3,,5/4/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/30/2020,5/7/2020,5/14/2020,7,2042000000.00,0.29,,4/30/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/30/2020,5/4/2020,5/11/2020,7,500000000.00,0.29,,4/30/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/29/2020,4/30/2020,5/7/2020,7,3005300000.00,0.32,,4/29/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/29/2020,4/30/2020,7/23/2020,84,1610000000.00,0.32,,4/29/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/28/2020,4/30/2020,5/14/2020,14,6670000000.00,0.32,,4/28/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/28/2020,4/30/2020,7/16/2020,77,1016000000.00,0.33,,4/28/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/27/2020,4/30/2020,5/7/2020,7,541000000.00,0.32,,4/27/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/27/2020,4/28/2020,5/5/2020,7,1868000000.00,0.32,,4/27/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/24/2020,4/28/2020,5/7/2020,9,310000000.00,0.31,,4/24/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/24/2020,4/27/2020,5/4/2020,7,200000000.00,0.31,,4/24/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/23/2020,4/27/2020,5/7/2020,10,722000000.00,0.3,,4/23/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/23/2020,4/24/2020,5/4/2020,10,920000000.00,0.3,,4/23/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/22/2020,4/24/2020,5/7/2020,13,971000000.00,0.31,,4/22/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/22/2020,4/23/2020,4/30/2020,7,3814000000.00,0.29,,4/22/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/22/2020,4/23/2020,7/16/2020,84,2003000000.00,0.32,,4/22/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/21/2020,4/23/2020,7/16/2020,84,19903000000.00,0.32,,4/21/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/21/2020,4/23/2020,4/30/2020,7,1290000000.00,0.3,,4/21/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/20/2020,4/22/2020,4/30/2020,8,1020000000.00,0.3,,4/20/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/20/2020,4/21/2020,4/28/2020,7,1740000000.00,0.3,,4/20/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/17/2020,4/21/2020,4/28/2020,7,640000000.00,0.3,,4/17/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/17/2020,4/20/2020,4/27/2020,7,205000000.00,0.3,,4/17/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/16/2020,4/20/2020,4/27/2020,7,664000000.00,0.3,,4/16/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/16/2020,4/17/2020,4/24/2020,7,440000000.00,0.3,,4/16/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/15/2020,4/17/2020,4/24/2020,7,1260000000.00,0.3,,4/15/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/15/2020,4/16/2020,4/23/2020,7,4805500000.00,0.3,,4/15/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/15/2020,4/16/2020,7/9/2020,84,2260200000.00,0.33,,4/15/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/14/2020,4/16/2020,4/23/2020,7,2210000000.00,0.31,,4/14/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/14/2020,4/16/2020,7/9/2020,84,26958000000.00,0.33,,4/14/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/14/2020,4/15/2020,4/22/2020,7,485000000.00,0.31,,4/14/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/13/2020,4/15/2020,4/22/2020,7,931000000.00,0.3,,4/13/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/10/2020,4/14/2020,4/21/2020,7,600000000.00,0.3,,4/10/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/9/2020,4/13/2020,4/20/2020,7,998000000.00,0.31,,4/9/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/9/2020,4/14/2020,4/21/2020,7,463000000.00,0.31,,4/9/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/8/2020,4/10/2020,4/17/2020,7,1080000000.00,0.3,,4/8/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/8/2020,4/9/2020,7/2/2020,84,11230700000.00,0.33,,4/8/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/8/2020,4/9/2020,4/16/2020,7,5922300000.00,0.3,,4/8/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/7/2020,4/9/2020,7/2/2020,84,29442000000.00,0.33,,4/7/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/7/2020,4/9/2020,4/16/2020,7,9360000000.00,0.3,,4/7/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/7/2020,4/8/2020,4/15/2020,7,943000000.00,0.3,,4/7/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/6/2020,4/8/2020,4/15/2020,7,12880000000.00,0.31,,4/6/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/6/2020,4/7/2020,4/14/2020,7,2270000000.00,0.31,,4/6/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/3/2020,4/7/2020,4/14/2020,7,5750000000.00,0.32,,4/3/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/3/2020,4/6/2020,4/14/2020,8,165000000.00,0.32,,4/3/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/2/2020,4/6/2020,4/13/2020,7,1135000000.00,0.32,,4/2/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/2/2020,4/3/2020,4/9/2020,6,925000000.00,0.32,,4/2/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/1/2020,4/3/2020,4/10/2020,7,950000000.00,0.32,,4/1/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/1/2020,4/2/2020,4/9/2020,7,6850200000.00,0.32,,4/1/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/1/2020,4/2/2020,6/25/2020,84,16468000000.00,0.32,,4/1/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/31/2020,4/2/2020,4/9/2020,7,9285000000.00,0.32,,3/31/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/31/2020,4/2/2020,6/25/2020,84,29724000000.00,0.32,,3/31/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/31/2020,4/1/2020,4/8/2020,7,2950000000.00,0.33,,3/31/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/30/2020,4/1/2020,4/8/2020,7,24100000000.00,0.32,,3/30/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/30/2020,3/31/2020,4/7/2020,7,6650000000.00,0.32,,3/30/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/27/2020,3/31/2020,4/7/2020,7,13100000000.00,0.34,,3/27/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/27/2020,3/30/2020,4/6/2020,7,2165000000.00,0.32,,3/27/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/26/2020,3/30/2020,4/6/2020,7,2265000000.00,0.32,,3/26/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/26/2020,3/27/2020,4/3/2020,7,3205000000.00,0.34,,3/26/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/25/2020,3/27/2020,4/3/2020,7,4950000000.00,0.34,,3/25/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/25/2020,3/26/2020,6/18/2020,84,27810000000.00,0.35,,3/25/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/25/2020,3/26/2020,4/2/2020,7,17267000000.00,0.36,,3/25/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/24/2020,3/26/2020,6/18/2020,84,73805000000.00,0.35,,3/24/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/24/2020,3/26/2020,4/2/2020,7,15465000000.00,0.36,,3/24/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/24/2020,3/25/2020,4/1/2020,7,4115000000.00,0.38,,3/24/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/23/2020,3/25/2020,4/1/2020,7,34850000000.00,0.38,,3/23/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/23/2020,3/24/2020,3/31/2020,7,20000000.00,0.38,,3/23/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/18/2020,3/19/2020,3/26/2020,7,36265000000.00,0.45,,3/18/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/18/2020,3/19/2020,6/11/2020,84,75820000000.00,0.38,,3/18/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/17/2020,3/19/2020,3/26/2020,7,2053000000.00,0.41,,3/17/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/17/2020,3/19/2020,6/11/2020,84,30272000000.00,0.37,,3/17/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/11/2020,3/12/2020,3/19/2020,7,45000000.00,1.24,,3/11/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/4/2020,3/5/2020,3/12/2020,7,58000000.00,1.58,,3/4/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,2/26/2020,2/27/2020,3/5/2020,7,47300000.00,2.08,,2/26/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,2/25/2020,2/27/2020,3/5/2020,7,1000000.00,2.08,,2/25/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,2/19/2020,2/21/2020,2/27/2020,6,1000000.00,2.08,,2/19/2020 9:00
