Operation Type,Counterparty,Currency,Trade Date,Settlement Date,Maturity Date,Term (days),Amount,Interest Rate,isSmallValue,Last Updated
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/4/2022,5/5/2022,5/12/2022,7,222000000.00,1.1,,5/5/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/27/2022,4/28/2022,5/5/2022,7,225000000.00,0.58,,4/28/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/20/2022,4/21/2022,4/28/2022,7,214000000.00,0.58,,4/21/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/13/2022,4/14/2022,4/21/2022,7,236000000.00,0.57,,4/14/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/12/2022,4/14/2022,4/21/2022,7,1000000.00,0.6,,4/14/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/6/2022,4/7/2022,4/14/2022,7,232500000.00,0.6,,4/7/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/30/2022,3/31/2022,4/7/2022,7,365500000.00,0.59,,3/31/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/23/2022,3/24/2022,3/31/2022,7,230500000.00,0.58,,3/24/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/16/2022,3/17/2022,3/24/2022,7,308000000.00,0.61,,3/17/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/15/2022,3/17/2022,3/24/2022,7,1000000.00,0.57,,3/17/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/9/2022,3/10/2022,3/17/2022,7,280000000.00,0.35,,3/11/2022 8:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/8/2022,3/10/2022,3/17/2022,7,4000000.00,0.36,,3/11/2022 8:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/2/2022,3/3/2022,3/10/2022,7,272500000.00,0.35,,3/3/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/1/2022,3/3/2022,3/10/2022,7,2000000.00,0.35,,3/3/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,2/23/2022,2/24/2022,3/3/2022,7,222000000.00,0.34,,2/24/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,2/22/2022,2/25/2022,3/3/2022,6,3000000.00,0.34,,2/24/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,2/16/2022,2/17/2022,2/24/2022,7,210000000.00,0.34,,2/17/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,2/15/2022,2/17/2022,2/25/2022,8,1000000.00,0.34,,2/17/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,2/9/2022,2/10/2022,2/17/2022,7,210500000.00,0.34,,2/10/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,2/8/2022,2/10/2022,2/17/2022,7,3000000.00,0.34,,2/10/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,2/7/2022,2/7/2022,2/8/2022,1,50000.00,0.33,Y,2/10/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,2/2/2022,2/3/2022,2/10/2022,7,199500000.00,0.33,,2/3/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,1/26/2022,1/27/2022,2/3/2022,7,212500000.00,0.34,,1/27/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,1/25/2022,1/27/2022,2/3/2022,7,1000000.00,0.34,,1/27/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,1/19/2022,1/20/2022,1/27/2022,7,215000000.00,0.33,,1/20/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,1/12/2022,1/13/2022,1/20/2022,7,215000000.00,0.33,,1/13/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,1/11/2022,1/13/2022,1/20/2022,7,1000000.00,0.33,,1/13/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,1/5/2022,1/6/2022,1/13/2022,7,313500000.00,0.33,,1/6/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,12/22/2021,12/23/2021,1/6/2022,14,939500000.00,0.33,,12/23/2021 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,12/21/2021,12/23/2021,12/30/2021,7,1000000.00,0.33,,12/23/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,12/15/2021,12/16/2021,12/23/2021,7,204000000.00,0.33,,12/16/2021 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,12/14/2021,12/16/2021,12/23/2021,7,1000000.00,0.33,,12/16/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,12/8/2021,12/9/2021,12/16/2021,7,220000000.00,0.34,,12/9/2021 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,12/7/2021,12/9/2021,12/16/2021,7,3000000.00,0.33,,12/9/2021 16:00
